person_id,name,born,died,gender,house
1,Charles II of Spain,1661,1700,M,Habsburg
2,Marie Louise d'Orléans,1662,1689,F,Orléans
3,Maria Anna of Neuburg,1667,1740,F,Wittelsbach
4,Philip IV of Spain,1605,1665,M,Habsburg
5,Mariana of Austria,1634,1696,F,Habsburg
6,Margaret Theresa of Spain,1651,1673,F,Habsburg
7,"Leopold I, Holy Roman Emperor",1640,1705,M,Habsburg
8,"Ferdinand III, Holy Roman Emperor",1608,1657,M,Habsburg
9,Maria Anna of Spain,1606,1646,F,Habsburg
10,Philip III of Spain,1578,1621,M,Habsburg
11,Margaret of Austria,1584,1611,F,Habsburg
12,Philip II of Spain,1527,1598,M,Habsburg
13,Anna of Austria,1549,1580,F,Habsburg
14,Charles II Francis of Austria,1540,1590,M,Habsburg
15,Maria Anna of Bavaria,1551,1608,F,Wittelsbach
16,"Ferdinand II, Holy Roman Emperor",1578,1637,M,Habsburg
17,Maria Anna of Bavaria,1574,1616,F,Wittelsbach
18,"Charles V, Holy Roman Emperor",1500,1558,M,Habsburg
19,Isabella of Portugal,1503,1539,F,Aviz
20,Maria of Spain,1528,1603,F,Habsburg
21,"Maximilian II, Holy Roman Emperor",1527,1576,M,Habsburg
22,"Ferdinand I, Holy Roman Emperor",1503,1564,M,Habsburg
23,Anne of Bohemia and Hungary,1503,1547,F,Jagiellon
24,Philip the Handsome,1478,1506,M,Habsburg
25,Joanna of Castile,1479,1555,F,Trastámara
